Split_type,Task,Seed,Config,Validation_score,Epoch,Macro-F1,Balanced-Acc,M-F1,M-Rec,Smooth,q_Spearman,q_Pearson,name,L,top_k,batch_size,lr,dropout,weight_decay,tcn_channels,gru_hidden,lambda_fine,lambda_q,lambda_mono
stagebalanced,N1b,2026,b11_wide_L4_k60,0.5022477555782459,23,0.614017094017094,0.5995726495726496,0.5599999999999999,0.5833333333333334,0.18056105311822007,0.7655172413793103,0.7493782256884995,b11_wide_L4_k60,4,60,16,0.0005,0.3,0.0001,"(32, 64)",32,0.1,0.2,0.05
stagebalanced,N1b,2026,b11_sample_01,0.4117457295616925,4,0.5045484080571799,0.5726495726495726,0.4210526315789474,0.3333333333333333,0.07795360535383225,0.6133021390374331,0.5700112479259354,b11_sample_01,3,45,8,0.001,0.3,0.0001,"(32, 64)",32,0.5,0.2,0.05
stagebalanced,N1b,2026,b11_sample_02,-0.17665787963342228,26,0.46639784946236557,0.48484848484848486,0.625,0.45454545454545453,0.13171703000331209,0.7521739130434782,0.5925279413461528,b11_sample_02,6,60,8,0.001,0.3,0.0001,"(16, 32)",16,0.2,0.05,0.02
stagebalanced,N1b,2026,b11_sample_03,0.45946300167237597,20,0.6814814814814815,0.6848290598290597,0.4444444444444444,0.3333333333333333,0.38711713046456375,0.6861631016042782,0.6890275809462596,b11_sample_03,3,60,16,0.001,0.2,0.0001,"(32, 32)",32,0.2,0.1,0.05
stagebalanced,N1b,2026,b11_sample_04,0.5320926490082408,4,0.6945315221177291,0.6912393162393163,0.6896551724137931,0.8333333333333334,0.05596203158299128,0.15441176470588236,0.1628415574984596,b11_sample_04,3,45,8,0.0005,0.2,0.0001,"(32, 32)",16,0.5,0.2,0.05
stagebalanced,N1b,2026,b11_sample_05,0.23957110179040508,21,0.3686868686868687,0.5897435897435898,0.0,0.0,0.07240420021116734,0.3669108669108669,0.3521398402842946,b11_sample_05,5,20,16,0.0005,0.2,0.0001,"(32, 32)",16,0.2,0.2,0.05
stagebalanced,N1b,2026,b11_sample_06,-0.21528048614615192,31,0.44862155388471175,0.4595959595959596,0.631578947368421,0.5454545454545454,0.11204452848150617,0.38260869565217387,0.4686071079903807,b11_sample_06,6,20,16,0.0005,0.2,0.0001,"(32, 64)",32,0.2,0.2,0.02
stagebalanced,N1b,2026,b11_sample_07,0.3276631963348621,10,0.5391812865497077,0.625,0.0,0.0,0.17058595890800157,0.849264705882353,0.7458598377249017,b11_sample_07,3,30,8,0.001,0.3,0.0001,"(32, 64)",16,0.5,0.2,0.02
stagebalanced,N1b,2026,b11_sample_08,0.5267147222717897,21,0.7391304347826088,0.73989898989899,0.6086956521739131,0.6363636363636364,0.2903253288850898,0.4026086956521739,0.47071219847945056,b11_sample_08,6,30,16,0.001,0.1,0.0001,"(32, 64)",32,0.5,0.1,0.05
stagebalanced,N1b,2026,b11_sample_09,0.561132533825984,19,0.7022222222222222,0.7606837606837606,0.64,0.6666666666666666,0.09639138945688804,0.5097680097680098,0.5202548665402824,b11_sample_09,5,60,16,0.0005,0.2,0.0001,"(32, 32)",16,0.2,0.1,0.0
stagebalanced,N1b,2026,b11_sample_10,0.34632973549965934,46,0.5185185185185185,0.5416666666666666,0.3333333333333333,0.25,0.44095348675424856,0.6079545454545454,0.6386771399503651,b11_sample_10,3,30,16,0.0005,0.2,0.0001,"(16, 32)",32,0.5,0.1,0.02
stagebalanced,N1b,2026,b11_sample_11,0.022073274376324836,22,0.2833333333333334,0.3106060606060606,0.25000000000000006,0.18181818181818182,0.10841745386521022,0.40869565217391296,0.4501976961978623,b11_sample_11,6,60,8,0.0005,0.2,0.0001,"(32, 32)",16,0.2,0.2,0.05
stagebalanced,N1b,2026,b11_sample_12,0.4304939910818891,20,0.5962962962962962,0.5833333333333334,0.4,0.25,0.09172268584370613,0.6892551892551892,0.6799050148565188,b11_sample_12,5,60,8,0.0005,0.3,0.0001,"(32, 32)",16,0.5,0.1,0.02
stagebalanced,N1b,2026,b11_sample_13,0.4235289840654571,8,0.47985705003248863,0.6303418803418804,0.5185185185185186,0.5833333333333334,0.0519087469826142,0.34432234432234426,0.3434144989384986,b11_sample_13,5,20,8,0.0005,0.1,0.0001,"(32, 32)",16,0.1,0.05,0.02
stagebalanced,N1b,2026,b11_sample_14,0.2520293930853853,5,0.4028985507246376,0.5224358974358975,0.0,0.0,0.0625729039311409,0.5307486631016043,0.5204884810546218,b11_sample_14,3,30,8,0.001,0.3,0.0001,"(16, 32)",32,0.5,0.2,0.02
stagebalanced,N2b,2026,b11_tiny_L3_k20,0.6541021478290796,13,0.8214285714285715,0.85,0.8571428571428571,0.8,0.5033741261048074,0.8015384615384615,0.7886861392069381,b11_tiny_L3_k20,3,20,8,0.001,0.2,0.0001,"(16, 32)",32,0.1,0.1,0.0
stagebalanced,N2b,2026,b11_small_L4_k30_qweak,0.6760198248180358,6,0.8095238095238096,0.8095238095238096,0.9285714285714286,0.9285714285714286,0.14578707084843986,0.691699604743083,0.6612034736479271,b11_small_L4_k30_qweak,4,30,8,0.001,0.2,0.0001,"(16, 32)",32,0.2,0.05,0.02
