Dataset,Method,Seed,Acc,Macro-F1,E-F1,M-F1,L-F1,M-Precision,M-Recall,M_to_E,M_to_L,Rev,Jump,Smooth,q-MAE,q-RMSE,q-R2,Spearman
PHM2010,B9_DC_PHSR,44,0.8552631578947368,0.8609775927829019,0.8547902975373728,0.7992681538784869,0.9288743269328457,0.9253315250150692,0.7172129846548451,0.18522433638712563,0.09756267895802694,1.0,0.3333333333333333,0.021329909777801265,0.1104822829642665,0.13525758395841483,0.6626876067355582,0.8923920657114357
PHM2010,B9_DC_PHSR,45,0.8651315789473685,0.8713908271988459,0.876903831531835,0.8115965801112036,0.925672069953499,0.9421550671550672,0.7273727215587682,0.1518087855297146,0.12081849291151514,0.3333333333333333,0.0,0.017178428967459067,0.11106024857122589,0.13458914981328593,0.6624482823639894,0.9070888393532635
PHM2010,B9_DC_PHSR,46,0.8706140350877192,0.8769024957020298,0.8837955102810792,0.8235323023805353,0.9233796744444751,0.9304010785305022,0.7506951983696171,0.1314893117218688,0.11781548990851216,0.3333333333333333,0.0,0.0215883120432713,0.13684886481015132,0.16206161678037845,0.4904048429342654,0.9285980599089745
PHM2010,B9_DC_PHSR,47,0.8947368421052633,0.8996696102954775,0.8818567630604622,0.8598766834060951,0.9572753844198753,0.9336946702800363,0.8111377762540553,0.13424947145877272,0.05461275228717044,0.3333333333333333,0.0,0.016909678437311,0.10852954034910607,0.13258005439210002,0.6737043230890536,0.9017205765632148
PHM2010,B9_DC_PHSR,48,0.8322368421052632,0.8395261535834125,0.8146933040078203,0.7630591630591631,0.9408259936832545,0.9078894356672134,0.6669968065316904,0.2579281183932327,0.0750750750750744,0.3333333333333333,0.0,0.017131291390217764,0.10779034338989346,0.1360168890782401,0.6508170607871852,0.9401760329964579
PHM2010,B9_DC_PHSR,49,0.668859649122807,0.590601356403731,0.593694426783118,0.6240430129845612,0.5540666294435139,0.7536560375073741,0.6957888120678818,0.10077519379844883,0.20343599413366686,0.3333333333333333,0.0,0.0169161484231883,0.14601484939145334,0.17042896529063756,0.41311482322083554,0.8812653843886347
PHM2010,B9_DC_PHSR,50,0.7631578947368421,0.6882382042377019,0.6335990526735471,0.8018235089229004,0.6292920511166579,0.751131709938141,0.9266010196242754,0.0103359173126614,0.0630630630630625,0.0,0.0,0.011413429133512398,0.13567737644030245,0.1572631334449845,0.46737702512773166,0.9063743509485229
PHM2010,B9_DC_PHSR,51,0.8870614035087719,0.8929951371518247,0.8814905178557289,0.8483973129542749,0.9490975806454708,0.9258658008658008,0.8001876083271432,0.14170777542870458,0.058104616244150635,0.3333333333333333,0.0,0.019779694274358002,0.16887234115510497,0.19226603073905837,0.1444999471132659,0.06749629329491058
PHM2010,B9_DC_PHSR,52,0.7785087719298246,0.7752518755997945,0.8169060129358092,0.6520222676664394,0.856827346197135,0.9385836385836387,0.5435610028633284,0.2267441860465099,0.22969481109015802,1.0,1.0,0.026978205389800867,0.13356785470545965,0.15738793530402875,0.5438556702470566,0.9026291484563211
PHM2010,B9_DC_PHSR,53,0.8815789473684211,0.8861400476182641,0.8745345985987757,0.8391281189446326,0.944757425311384,0.9120397808339454,0.7859265184846581,0.1420014094432688,0.0720720720720714,0.0,0.0,0.013264248304675633,0.10608880166012184,0.12905984074226293,0.686150349162311,0.9050315072847408
PHM2010,B9_DC_PHSR,54,0.7138157894736842,0.642562369401393,0.6374294220305923,0.7274802279490246,0.5627774582245624,0.7553335690711928,0.8089950415531811,0.0051679586563307,0.18583699979048662,0.6666666666666666,0.0,0.022537126190828333,0.16022317624527885,0.18421358505817773,0.3205203033836104,0.89654599029067
PHM2010,B9_DC_PHSR,55,0.825657894736842,0.8264531520210924,0.8369363080313046,0.7339516817611496,0.908471466270823,0.933903133903134,0.6436679808772833,0.21176885130373338,0.1445631678189806,0.6666666666666666,0.0,0.0179137629913693,0.12823153941521803,0.14990243259238256,0.5833612868883331,0.8829718555078755
PHM2010,B9_DC_PHSR,56,0.7489035087719298,0.6747299488523177,0.6077988110137672,0.7843559076317695,0.6320351279114166,0.7518211280587518,0.8942663593826384,0.05167958656330707,0.054054054054053564,0.0,0.0,0.013040598014875365,0.1352246288069252,0.1596063004272595,0.4688790354892478,0.8485187005572552
PHM2010,B9_DC_PHSR,57,0.8673245614035089,0.874326077970275,0.870088971106413,0.812911504876601,0.939977757927811,0.933348063043158,0.7457907167209493,0.1694268264035693,0.08478245687547943,1.0,0.0,0.021834167157872435,0.11278254759270057,0.1385857276090967,0.6462669289071946,0.8753538084911866
PHM2010,B9_DC_PHSR,58,0.7763157894736841,0.7206310732263982,0.7343313953488373,0.8060073898783576,0.6215544344519998,0.7625892699422111,0.9175221733361267,0.0103359173126614,0.07214190935121104,0.3333333333333333,0.0,0.0159760572624042,0.14669066707626624,0.16687191108058566,0.3878519896167152,0.671214972860019
PHM2010,B9_DC_PHSR,59,0.8848684210526315,0.8886019676769172,0.8453944144198954,0.8512873673016021,0.9691241213092537,0.8701576094708315,0.8561971061971062,0.1287878787878778,0.015015015015014866,0.0,0.0,0.013932501669315566,0.10925651009920657,0.13083065688841314,0.6785119690858002,0.8871490405017183
PHM2010,B9_DC_PHSR,60,0.9046052631578947,0.9070398096645224,0.9333977515589353,0.8737058898909652,0.9140157875436666,0.909193919746874,0.8447549028944378,0.028071411792341804,0.1271736853132191,0.6666666666666666,0.0,0.019772301965605168,0.1438203007557389,0.16253174395324807,0.4747247226129742,0.9571235167396466
PHM2010,B9_DC_PHSR,61,0.8179824561403509,0.8192905885874665,0.8329173229802794,0.7238645145948516,0.9010899281872682,0.9122776010368799,0.6459980064631227,0.21670190274841272,0.13730009078846175,1.0,0.3333333333333333,0.0218364568671488,0.13437918555362827,0.16070445239727163,0.5218439610696902,0.8913065547469499
PHM2010,B9_DC_PHSR,62,0.8585526315789473,0.8651176268548119,0.8625688722623108,0.8020329100195216,0.9307510982826032,0.9278276847692936,0.7295741830625552,0.17230443974629886,0.09812137719114383,0.6666666666666666,0.0,0.022604562921086133,0.11583089854852367,0.14029326641737175,0.6351942523258897,0.9278801063076831
