feature,mi_stage,mi_q,spearman_abs_q,domain_instability_C1_C4,feature_score
ch4_min__rel,0.7038409757075104,1.09101339267237,0.9041659733374995,0.2425202029485243,0.528892726596815
ch5_min__rel,0.6874699032139746,1.1604859629115007,0.8957439855306827,0.27072277254427046,0.527907743837556
ch6_q75__rel,0.6625144600569082,1.5917490872957565,0.9239632495913637,0.8103343492386834,0.5268448169924129
ch1_spec_entropy__rel,0.8346346986511757,2.04280244678411,0.7436526446265911,1.8202656548400722,0.5257915082261383
ch1_wp_entropy__rel,0.653302787134979,1.7712259547906193,0.6405349453817752,0.6156009730527342,0.5245073640555169
ch2_max__rel,0.6605984787232435,1.7883933000814114,0.9451146717865911,1.1273744592962536,0.5241360042598311
ch5_wp_energy_5__rel,0.6879834645819409,1.2484433219842885,0.8667145543098063,0.4097777055612817,0.5217241201639119
ch3_q75__rel,0.59483040012277,2.2473770715630983,0.9369151332156213,1.507466640489386,0.5216399381767305
ch4_wp_energy_2__rel,0.8242608918993675,1.7146714382783133,0.7072457107789519,1.3386262322659102,0.5201963866220093
ch1_wp_energy_ratio_8__rel,0.6822242780604828,1.7821663263536998,0.541365245036029,0.7142169855398071,0.512349497881448
ch2_kurtosis__rel,0.4985994616507452,1.9702098224742253,0.5809045620101784,0.35172153086963454,0.5094411892001343
ch1_wp_energy_max_ratio__rel,0.6261476624689664,1.7344574262451036,0.6177730637291056,0.6332052500931169,0.5039432482256858
ch1_wp_energy_ratio_1__rel,0.6261476624689664,1.7344574262451036,0.6177730637291056,0.6332052500931169,0.5039432482256858
ch5_wp_energy_8__rel,0.6146444195200391,1.7771378968523348,0.773623620268948,0.9629860638658995,0.49569142993367155
ch5_max__rel,0.6117083685030973,1.114754204311184,0.8954878106097779,0.24945689266521462,0.4947381994231507
ch1_spec_centroid__rel,0.765934918007459,1.8985786224928676,0.658821788282345,1.5882908038561157,0.49041541613497297
