Split_type,Task,Seed,Train_cases,Validation_cases,Test_cases,Method,Acc,Macro-F1,Balanced-Acc,E-F1,M-F1,L-F1,E-Rec,M-Rec,L-Rec,M-Pre,M→E,M→L,E→M,L→M,Rev,Jump,Smooth,Predicted_class_count,Window length,Top_k,Config,Best_validation_score
bestcase_candidate,CAND052,2026,"2,4,5,9,12,13,14,15,16","1,3,7","6,8,10,11",B12,0.424242424,0.418229482,0.403703704,0.666666667,0.105263158,0.482758621,0.6,0.111111111,0.5,0.1,0.111111111,0.777777778,0.3,0.428571429,6,1,0.135766235,3,3,60,b11_sample_03,0.564700991
bestcase_candidate,CAND111,2026,"1,3,4,5,6,9,10,11,15","2,7,14","8,12,13,16",B9,0.470588235,0.417989418,0.567307692,0.37037037,0.142857143,0.740740741,1.0,0.076923077,0.625,1.0,0.846153846,0.076923077,0.0,0.0,1,2,0.221051604,3,3,20,tiny_L3_k20,0.179077217
bestcase_candidate,CAND017,2026,"1,2,4,5,6,7,8,13,14","9,10,11","3,12,15,16",B10,0.5,0.417924657,0.4023126,0.333333333,0.604651163,0.315789474,0.25,0.684210526,0.272727273,0.541666667,0.052631579,0.263157895,0.75,0.727272727,1,0,0.05626071,3,3,20,tiny_L3_k20,0.415555572
bestcase_candidate,CAND158,2026,"3,5,6,7,8,11,13,14,16","1,4,12","2,9,10,15",B9,0.583333333,0.416666667,0.470588235,0.666666667,0.0,0.583333333,1.0,0.0,0.411764706,0.0,0.0,0.0,0.0,0.176470588,0,2,0.196112048,3,5,30,small_L5_k30,0.611690595
bestcase_candidate,CAND198,2026,"4,5,7,8,10,11,13,15,16","1,2,14","3,6,9,12",B10,0.448275862,0.408730159,0.527777778,0.583333333,0.5,0.142857143,1.0,0.5,0.083333333,0.5,0.4,0.1,0.0,0.416666667,2,1,0.128328729,3,4,30,small_L4_k30,0.47484485
bestcase_candidate,CAND010,2026,"1,5,7,8,12,13,14,15,16","4,9,11","2,3,6,10",B9,0.413793103,0.403703704,0.650793651,0.266666667,0.444444444,0.5,1.0,0.285714286,0.666666667,1.0,0.428571429,0.285714286,0.0,0.0,0,0,0.236995704,3,4,30,small_L4_k30,0.344201976
bestcase_candidate,CAND207,2026,"1,2,4,6,7,8,13,14,15,16","3,10,12","5,9,11",B10,0.551724138,0.398095238,0.476190476,0.0,0.48,0.714285714,0.0,0.428571429,1.0,0.545454545,0.0,0.571428571,1.0,0.0,0,0,0.219614803,2,4,30,small_L4_k30,0.751595475
bestcase_candidate,CAND109,2026,"1,2,4,5,6,7,9,13,14","3,10,12","8,11,15,16",B12,0.441176471,0.394975395,0.40493167,0.222222222,0.424242424,0.538461538,0.166666667,0.411764706,0.636363636,0.4375,0.117647059,0.470588235,0.833333333,0.363636364,1,0,0.225961738,3,3,60,b11_sample_03,0.614816614
bestcase_candidate,CAND045,2026,"1,2,4,5,7,8,9,13,15","3,10,12","6,11,14,16",B9,0.46875,0.388074291,0.433501684,0.181818182,0.272727273,0.709677419,0.111111111,0.272727273,0.916666667,0.272727273,0.090909091,0.636363636,0.777777778,0.083333333,1,0,0.321676391,3,3,20,tiny_L3_k20,0.453961836
bestcase_candidate,CAND157,2026,"3,4,6,7,8,11,13,14,16","1,2,15","5,9,10,12",B9,0.571428571,0.387896825,0.412698413,0.476190476,0.0,0.6875,0.714285714,0.0,0.523809524,0.0,0.0,0.0,0.285714286,0.047619048,1,2,0.045538828,3,4,30,small_L4_k30,0.509740133
